	Tweet
3454	New from @MDDIonline: Learn how modern technologies can help prepare #medicaldevice companies for new global compliance requirements:  https://t.co/mvL4X3mJrI
3455	Veeva Align customers cut time to create territory alignments by 75%. Learn how:  https://t.co/BOY0LXmDw6
3456	Gain insight into your TMF maturity level and the steps required to improve inspection readiness:  https://t.co/Pb8ofv3WRr  https://t.co/zzbhRnTtna
3457	Veeva CRM Engage Webinar helps companies easily manage online events without compliance risk. Hear how:  https://t.co/iaFztd8EbU
3458	Four of top 20 pharmas have adopted #VeevaAlign to perform fast, accurate territory alignments. Learn more:  https://t.co/BOY0LXmDw6
3459	Introducing Veeva Vault PromoMats Brand Portal: a new capability to help brand managers easily create brand portals to showcase content &amp; increase asset reuse   https://t.co/YcyUYxn5Ip
3460	The #medicaldevice industry is on the verge of disruption. @VeevaSystems and @MDDIonline discuss how modern technology can help:  https://t.co/mvL4X3mJrI
3461	Veeva extends #digitalassetmanagement in life sciences with Vault PromoMats Brand Portal, a new capability to help brand managers easily create brand portals to showcase content &amp; increase asset reuse  https://t.co/YcyUYxn5Ip
3462	Did you know 96% of physicians say they would benefit from online events? Veeva CRM Engage Webinar now gives the life sciences industry the first purpose-built application to make virtual events easy and compliant  https://t.co/iaFztd8EbU #multichannelCRM
3463	4 of the top 20 #pharma companies adopt #VeevaAlign to make fast, accurate territory alignments, as customers like @AstellasUS significantly cut time to create alignments by 75%  https://t.co/BOY0LXmDw6 #VeevaCRM
3464	Regulatory teams: learn how to minimize manual overhead and prepare for growth. Register for our webinar  https://t.co/IywVjrz5xI 12/6 at 12 p.m. EST. #unifiedRIM
3465	C.R. Bard and Daiichi Sankyo share their journey from passive to active TMF:  https://t.co/zaFq8zKVt0  https://t.co/TLyKhyALLc
3466	The single biggest challenge #clinicaldata teams have with their CDMS is cycle time, per @TuftsCSDD  https://t.co/ffT2POiBq6
3467	97% of companies to increase use of #clinicaldata sources, but 98% report challenges with CDMS, per @TuftsCSDD  https://t.co/ffT2POiBq6
3468	Read the 2017 Unified Clinical Operations Report to find out how sponsors are evolving clinical processes.  https://t.co/g3arqdDLmL  https://t.co/ZSbxENDcH9
3469	Thanksgiving food for thought-is it time to grow your regulatory capability? Register for our webinar  https://t.co/IywVjrz5xI, 12/6 at 12 p.m. EST. #unifiedRIM
3470	The single biggest challenge #clinicaldata teams have with their CDMS is cycle time, per @TuftsCSDD  https://t.co/ffT2POiBq6
3471	The single biggest challenge #clinicaldata teams have with their CDMS is cycle time, per @TuftsCSDD  https://t.co/ffT2POiBq6
3472	Improve your decision-making ability in #clinicaltrials by boosting your TMF maturity:  https://t.co/Pb8ofv3WRr  https://t.co/Uq4t6QOizr
3473	97% of companies to increase use of #clinicaldata sources, but 98% report challenges with CDMS, per @TuftsCSDD  https://t.co/ffT2POiBq6
3474	Regulatory teams: learn how to minimize manual overhead and prepare for growth. Register for our webinar.  https://t.co/IywVjrz5xI 12/6 at 12 p.m. EST. #unifiedRIM
3475	Are you inspection ready? Take this 12-min. self-evaluation to measure your TMF maturity:  https://t.co/Pb8ofv3WRr  https://t.co/HvFhY11pcI
3476	GDPR is coming, are you prepared? Read our latest blog for some practical advice about GDPR preparation:  https://t.co/QIGetHkne3
3477	Register for our regulatory webinar and get tips on how to reduce your overall regulatory submission process cost by 75%.  https://t.co/IywVjrz5xI 12/6 at 9 a.m. PST. #unifiedRIM
3478	C.R. Bard and Daiichi Sankyo see improved inspection readiness as a result of tracking their TMF in real-time.  https://t.co/zaFq8zKVt0  https://t.co/hlZBPxVDUO
3479	Life sciences companies adopt Vault Development Cloud as their technology foundation for drug development  https://t.co/WxrUxlfjZb  https://t.co/0X4idWvdcr
3480	Simplify and optimize #clinicaltrial performance with unified clinical applications:  https://t.co/R4F6HHzIv2
3481	The #medicaldevice industry is on the verge of disruption. @VeevaSystems and @MDDIonline discuss how modern technology can help:  https://t.co/mvL4X3mJrI
3482	Veeva Vault CTMS is changing trial management and helping customers unify their clinical processes and improve visibility across studies.  https://t.co/bE7yax7zjA  https://t.co/8hc0Gm0eR9
3483	97% of companies to increase use of #clinicaldata sources, but 98% report challenges with CDMS, per @TuftsCSDD  https://t.co/ffT2POiBq6
3484	Reduce complexity and inefficiency in #clinicaltrials through unified clinical processes.  https://t.co/R4F6HHzIv2
3485	Vault Development Cloud helping @LillyPad manage processes, content, and data across global product dev  https://t.co/WxrUxlfjZb  https://t.co/Hz0bHDyMV4
3486	Industry accelerates adoption of Vault CTMS to streamline clinical processes and improve visibility across studies.  https://t.co/bE7yax7zjA  https://t.co/OtdD4YWg4V
3487	New from @MDDIonline: Learn how modern technologies can help prepare #medicaldevice companies for new global compliance requirements:  https://t.co/mvL4X3mJrI
3488	The single biggest challenge #clinicaldata teams have with their CDMS is cycle time, per @TuftsCSDD  https://t.co/ffT2POiBq6
3489	Join us with @FDAnews to learn how to improve #quality device management processes &amp; maintain compliance.  https://t.co/pPoBz3nbxP  https://t.co/M4StxmVM5o
3490	Cut the number of steps in an Interim Monitoring Visit from 29 to only 8 steps with #unifiedclinical.  https://t.co/R4F6HHzIv2
3491	97% of companies to increase use of #clinicaldata sources, but 98% report challenges with CDMS, per @TuftsCSDD  https://t.co/ffT2POiBq6
3492	The single biggest challenge #clinicaldata teams have with their CDMS is cycle time, per @TuftsCSDD  https://t.co/ffT2POiBq6
3493	Eliminate disconnected data and processes in #clinicaltrials with unified applications.  https://t.co/R4F6HHzIv2
3494	Optimize #clinicaltrials with Vault Clinical Suite. Learn more:  https://t.co/R4F6HHzIv2
3495	.@TuftsCSDD Ken Getz: Cycle times of data management tasks are longer than they were 10 years ago, via @DrugInfoAssn  https://t.co/rTDftfGmI2
3496	97% of companies to increase use of #clinicaldata sources, but 98% report challenges with CDMS, per @TuftsCSDD  https://t.co/ffT2POiBq6  https://t.co/s7sof7mbtS
3497	Reduce compliance risk in #clinicaltrials with unified clinical applications. Learn more:  https://t.co/R4F6HHzIv2
3498	".@DrugInfoAssn: Ken Getz from @TuftsCSDD says ""Time to build study database is now over 2 months.""  https://t.co/rTDftfGmI2"
3499	New @TuftsCSDD research shows #lifesciences aims to leverage data from more sources, but needs to prepare  https://t.co/ffT2POiBq6  https://t.co/3h1ddARCEA
3500	#mHealth data usage to increase to 76%, but only 10% of companies are managing it in #EDC today  https://t.co/ffT2POiBq6  https://t.co/XcAxJtM6H2
3501	Join us with @FDAnews to learn how to improve #quality device management processes &amp; maintain compliance.  https://t.co/pPoBz3nbxP  https://t.co/of1jLz4LOL
3502	A unified clinical environment reduces cost in #clinicaltrials by automating and streamlining processes. Learn more:  https://t.co/R4F6HHzIv2
3503	.@ClinicalLeader1: @TuftsCSDD shares insights on #clinical data management practices, performance, &amp; challenges  https://t.co/9JkdqagKaf
3504	.@Clin_Info_News: Read how @oraclinical and @LillyPad are unifying #clinical applications in the #cloud.  https://t.co/YhMKvIncv9
3505	Moving to #unifiedclinical applications results in faster, more efficient trial execution. Learn more:  https://t.co/R4F6HHzIv2
3506	New @TuftsCSDD survey reveals its takes companies 68 days to build and release a #clinical study database  https://t.co/1C8BYbOAAB
3507	100% of sponsors and #CROs say primary type of data managed in their #EDC is eCRF, via @TuftsCSDD  https://t.co/1C8BYbOAAB  https://t.co/T36QT4YDgO
3508	Veeva will partner w/ IRT vendors to provide advanced RTSM capabilities w/ Vault #EDC for complex #clinicaltrials  https://t.co/R9oMXvsb0a
3509	45% of #clinicaldata professionals cite protocol changes as top cause of database build delays  https://t.co/1C8BYbOAAB @TuftsCSDD
3510	@abbvie @Allergan @Amgen @AstellasUS @AstraZeneca @AVANIRPharma @Bayer @boehringerus and @LillyPad @LundbeckUS @Merck @Novartis @pfizer @Shireplc @Sunovion @TakedaPharma @tevapharm @UnitherFIRST
3511	@abbvie @Allergan @Amgen @AstellasUS @AstraZeneca @AVANIRPharma @Bayer @boehringerus ...and @cardinalhealth @ENDP @Fresenius @galderma @genentech @GileadSciences @GSK @ICONplc @InterceptPharma @ironwoodpharma @JanssenUS
3512	Congrats to the 2017 #MMMAwards winners! @abbvie @Allergan @Amgen @AstellasUS @AstraZeneca @AVANIRPharma @Bayer @boehringerus...
3513	83% of #pharma companies release study database after FPFV -&gt; associated w downstream trial delays  https://t.co/1C8BYbOAAB via @TuftsCSDD  https://t.co/VbQhj6eIH5
3514	Identify &amp; reach the right scientific leaders to successfully develop &amp; launch new cancer treatments  https://t.co/DGVa7x66cj #oncology #data
3515	"Via @fortunemagazine #Future50: ""Veeva has become an indispensable nucleus for the #lifesciences industry""  https://t.co/ww9Hf0PzHd"
3516	Veeva #1 on @fortunemagazine #Future50 list of companies poised for breakout growth, also named fastest-growing co  https://t.co/ww9Hf0PzHd
3517	Centralize insights on scientific leaders in one complete source of #oncology #data with Veeva Oncology Link  https://t.co/DGVa7x66cj
3518	.@forbes and @fortunemagazine rank Veeva one of world's fastest-growing companies  https://t.co/ww9Hf0PzHd #FastTech25 #Future50
3519	Build stronger relationships with experts across global oncology community using Veeva Oncology Link  https://t.co/DGVa7x66cj #oncology #data
3520	Thanks to the Veeva team and the continued support of our customers, Veeva ranked #1 on the #FortuneFuture50 list  https://t.co/ww9Hf0xYiD
3521	Veeva lands #1 spot on #FortuneFuture50 list, also named to Forbes and Fortune lists of fastest-growing companies  https://t.co/ww9Hf0PzHd
3522	77% of companies have issues loading data in #EDC; 65% cite system or integration issues as reasons via @TuftsCSDD  https://t.co/1C8BYbOAAB
3523	New #clinicaldata research from @TuftsCSDD reveals database build challenges and delays in trial timelines  https://t.co/1C8BYbOAAB
3524	.@ACRPDC: Protocol changes were the top culprit causing database build delays, via new research from @TuftsCSDD  https://t.co/JAfDO11zqx
3525	Less than 1 week until the #Veeva #DigitalAssetManagement for #LifeSciences Forum. See session info:  https://t.co/nKyCJjUTZP #LSDAMevent2017
3526	.@PharmaMfg: Read how bringing quality &amp; regulatory teams together can streamline change control processes  https://t.co/Qr7gLiozZY
3527	Less than 2 weeks until the #Veeva #DigitalAssetManagement for #LifeSciences Forum. See agenda:  https://t.co/nKyCJjDiBf  #LSDAMevent2017
3528	@Clin_Info_News: 77% of #clinical trial managers reported challenges loading data into #EDC systems, per @TuftsCSDD  https://t.co/qIQtmo0NLm
3529	@ACRPDC: Learn why @JanssenUS moved to a single platform to unify #clinical operations  https://t.co/Uk0ktotdfl
3530	@ACRPDC: Read how @LillyPad is Improving collaboration between sponsors and sites  https://t.co/j7hbyiUquh
3531	@OutsourcPharma: Clinical study database challenges are delaying clinical trial timelines, from @TuftsCSDD report  https://t.co/hIHLXEJlZa
3532	.@AlignBiopharma brings industry together to put customer 1st &amp; transform HCP experience says Henry Levy, President  https://t.co/xEfxLga7vK
3533	Members from leading pharma, tech &amp; service provider companies collaborate to define @AlignBiopharma’s new standard.  https://t.co/xEfxLga7vK
3534	.@AlignBiopharma standard “will dramatically simplify how I connect w #lifesciences.”-David S. Wernsing, M.D., FACS.  https://t.co/xEfxLga7vK
3535	Final technology standard from @AlignBiopharma aims to improve how #lifesciences orgs &amp; their customers interact.  https://t.co/xEfxLga7vK
3536	.@AlignBiopharma announces final open technology standard, making it easier for HCPs to access online content.  https://t.co/xEfxLga7vK
3537	Today, @AlignBiopharma introduces new technology standard to enable single sign-on for HCP’s.  https://t.co/xEfxLga7vK
3538	Sponsors take 40% longer than #CROs to get to database lock. Visit Veeva at #SCRS17 for a copy of the @TuftsCSDD report.
3539	At #SCRS17 pick up new research from @TuftsCSDD on database build challenges and delays in trial timelines
3540	New #clinicaldata research from @TuftsCSDD reveals database build challenges and delays in trial timelines  https://t.co/1C8BYbOAAB
3541	77% of companies have issues loading data in #EDC; 65% cite system or integration issues as reasons via @TuftsCSDD  https://t.co/1C8BYbOAAB
3542	83% of #pharma companies release study database after FPFV -&gt; associated w downstream trial delays  https://t.co/1C8BYbOAAB via @TuftsCSDD  https://t.co/NIno2DaN6J
3543	New research from @TuftsCSDD reveals #clinicaldata management delays are slowing trial completion  https://t.co/1C8BYbOAAB
3544	What are the top 3 reasons to attend the #Veeva DAM for #LifeSciences Forum? Read the blog now:  https://t.co/AtiJXnlJvY #LSDAMevent2017
3545	"See ""A Site-centric Approach to Clinical Data Management"" on Friday morning at #SCRS17. Details here  https://t.co/zxWKM3Li8x"
3546	Robert Nist from @LillyPad on how Vault Development Cloud will help get medicines to patients faster:  https://t.co/aSw8TykZGT #VeevaSummit  https://t.co/cBuki7ZtLU
3547	A fantastic day filled with in-depth product roadmaps at #VeevaSummit.
3548	45% of #clinicaldata professionals cite protocol changes as top cause of database build delays  https://t.co/1C8BYbOAAB @TuftsCSDD
3549	Vault CTMS is changing trial management, helping customers unify their clinical processes &amp; improve visibility across studies. #VeevaSummit
3550	Avril England, GM of Veeva Vault, shares what's coming with Vault Platform and how organizations can streamline their operations.
3551	Be sure to come by the Genius Bar to talk with product experts who can answer all your questions on content and data management.
3552	Day 2 will feature more than 15 Vault roadmap sessions, covering everything from Vault applications to Vault Platform. Sessions begin at 9.
3553	#VeevaSummit takes over @TheFranklin, with exclusive access to the Terracotta Warriors exhibit.
3554	Don't miss exclusive access to the Terracotta Warriors exhibit at @TheFranklin tonight at our evening event! Begins at 6:30 p.m.
3555	.@LillyPad, @TESAROBIO, &amp; Aeglea adopt Vault Development Cloud as tech foundation for drug development  https://t.co/aSw8TykZGT #VeevaSummit
3556	Stop by the Genius Bar to talk with product experts who can answer all your questions on content and data management.
3557	Vault Development Cloud helping @LillyPad manage processes, content, and data across global product dev  https://t.co/aSw8TykZGT #VeevaSummit
3558	Life sciences companies adopt Vault Development Cloud as their tech foundation for drug development  https://t.co/aSw8TykZGT #VeevaSummit
3559	.@Covance evolves their TMF business processes to drive greater collaboration and transparency in clinical trials. #VeevaSummit
3560	Pharma leader @JanssenUS shares insights how a modern, unified solution transformed their clinical trial execution. #VeevaSummit
3561	Breakout sessions have begun. With four different tracks and 45+ sessions to choose from, there's something for everyone at #VeevaSummit.
3562	Join your community birds of a feather luncheon today to learn from industry leaders and form new connections. #VeevaSummit
3563	Vault Platform is changing content and data management, enabling customers to quickly deploy powerful solutions to business challenges.  https://t.co/BOHibEGMS6
3564	SVP Jen Goldsmith and GM Avril England provide a demonstration of Vault Clinical to conduct a monitoring visit #VeevaSummit  https://t.co/4KQnXVDSNV
3565	SVP Jen Goldsmith says #clinical has become complex and inefficient; Vault Clinical changes this. #VeevaSummit  https://t.co/6bH7EH1Ste
3566	SVP Jen Goldsmith and GM Avril England demo Veeva Vault supporting processes across clinical, quality, and regulatory to speed product dev.
3567	Robert Nist with @LillyPad kicks off the #VeevaSummit customer keynote by discussing their journey to the cloud.  https://t.co/4STQgKEREn
3568	Cynthia Piccirillo with @bmsnews talks regulatory transformation-Veeva shared our culture of speed. It was one team, one speed. #VeevaSummit  https://t.co/hnIBPLtOtP
3569	Congratulations to our Veeva Heroes honored at #VeevaSummit.  https://t.co/YCR2QLOF56
3570	CEO Peter Gassner: We're building a technology foundation for drug development in life sciences with Vault Development Cloud #VeevaSummit  https://t.co/06yHyjpLjI
3571	CEO Peter Gassner gives 1,000+ attendees at the 2017 R&amp;D #VeevaSummit a warm Veeva welcome.  https://t.co/llpG4vUt3G
3572	Industry accelerates adoption of Vault CTMS to streamline clinical processes and improve visibility across studies.  https://t.co/Pc9f1TjoEK
3573	120 customers adopt Veeva Vault Quality to modernize quality management in the cloud.  https://t.co/ZwcrgvkOfP #VeevaSummit
3574	"See ""A Site-centric Approach to Clinical Data Management"" on Friday morning at #SCRS17. Details here  https://t.co/zxWKM3Li8x"
3575	Excitement is in the air at #VeevaSummit. Be sure to catch tomorrow's sessions from Janssen, UCB, and more!
3576	Stop by your community areas tonight to share what topics you'd like to cover at #VeevaSummit birds of a feather lunches.
3577	Join us in kicking off our fourth annual R&amp;D Summit with a Welcome Reception in the Partner Pavilion tonight at 6 p.m. #VeevaSummit
3578	We are excited to welcome over 1,000 life sciences leaders to our fourth and largest R&amp;D #VeevaSummit in Philadelphia.
3579	New @TuftsCSDD survey reveals its takes companies 68 days to build and release a #clinical study database  https://t.co/1C8BYbOAAB
3580	See highlights from the 2017 Veeva Commercial Summit Brazil, hosted in São Paulo this past August:  https://t.co/XD62L1rIkn
3581	#Veeva DAM for #LifeSciences Forum: session info available, view the event page to see the speakers  https://t.co/nKyCJjUTZP #LSDAMevent2017
3582	#VeevaSummit kicks off this evening! Stop by registration on the second floor to grab your badge before the Welcome Reception!
3583	"Attending #SCRS17? Don't miss ""A Site-centric Approach to Clinical Data Management"" on Friday morning! Details here  https://t.co/zxWKM3Li8x"
3584	Check out the packed agenda for #VeevaSummit online. With 45+ sessions, this line-up is one you won't want to miss.  https://t.co/NflpvIJ6fr
3585	In one day, the industry is coming together in Philadelphia at #VeevaSummit. Check out what's happening at Summit:  https://t.co/48lArgAyNg
3586	Companies using the two leading EDC systems report 20% longer data cycle times vs. using other #EDC systems  https://t.co/1C8BYbOAAB
3587	A glimpse into @GSK’s organizational transformation and use of technology for better customer engagement. VIDEO:  https://t.co/z96xl91z9d
3588	100% of sponsors and #CROs say primary type of data managed in their #EDC is eCRF, via @TuftsCSDD  https://t.co/1C8BYbOAAB  https://t.co/EgRvOgiZXA
3589	.@TuftsCSDD: Initial database delays have significant downstream impact on patient data entry in the #EDC  https://t.co/1C8BYbOAAB
3590	Initial database delays impact time it takes to enter patient data in the EDC, via @TuftsCSDD  https://t.co/1C8BYbwZc1
3591	New research from .@TuftsCSDD says sponsors take 40% longer than #CROs to get to database lock  https://t.co/1C8BYbOAAB
3592	New survey reveals its takes companies 68 days to build and release a #clinical study database, via @TuftsCSDD  https://t.co/1C8BYbOAAB
3593	The number of #CROs using an eTMF application has more than doubled since 2014. Learn more:  https://t.co/bUI5E1viSa #clinicalresearch  https://t.co/XNmz4KBEcU
3594	.@TuftsCSDD: Companies using the two leading EDC systems report 20% longer data cycle times vs other EDC systems  https://t.co/1C8BYbOAAB
3595	New research from .@TuftsCSDD says sponsors take 40% longer than #CROs to build database (73 vs. 53 days)  https://t.co/1C8BYbOAAB
3596	#MedicalDevice industry prepares for new compliance standards, driving a rapid shift to the cloud. #MedTechCon  https://t.co/cdnPWvC6Ld
3597	See how to look beyond just efficiency when making the business case for regulatory system transformation  https://t.co/UhuKJkfIxt
3598	65% say current #EDC system and integration issues are top reasons for issues loading study data  https://t.co/1C8BYbOAAB #SCDM17
3599	New research reveals #EDC is most widely adopted #clinical application, via .@TuftsCSDD  https://t.co/1C8BYbOAAB #SCDM17
3600	Veeva helps improve quality &amp; efficiency for #medicaldevice companies preparing for new standards  https://t.co/cdnPWvC6Ld #MedTechCon
3601	Companies delivering the study database before first patient, first visit report shorter database lock times  https://t.co/1C8BYbOAAB #SCDM17
3602	9 of top 15 #medicaldevice companies move to Veeva Vault to prepare for new compliance standards.  https://t.co/r0U2nfowQq
3603	.@TuftsCSDD Ken Getz: Companies face growing challenges building and managing #clinical study databases  https://t.co/1C8BYbOAAB #SCDM17
3604	Today at 3 p.m. in #SCDM17 exhibit hall, Ken Getz from Tufts presents new research on impact of database build delays on trial timelines
3605	At 3 p.m. in the #SCDM17 exhibit hall, hear new research from one of the largest surveys of clinical digital management professionals.
3606	Today at 3 p.m. in #SCDM17 exhibit hall, Ken Getz from Tufts presents new research on biggest causes of database build delays
3607	77% of clinical trial professionals have issues loading data into their primary EDC, via @TuftsCSDD  https://t.co/1C8BYbOAAB #SCDM17
3608	.@TuftsCSDD: eCRF data is the highest volume of data managed in EDC  https://t.co/1C8BYbOAAB Hear more at 3 pm at #SCDM17 exhibit hall
3609	Lay a strong foundation for regulatory standardization.  https://t.co/oUuZJHccUn #UnifiedRIM
3610	New survey reveals its takes cos 68 days to design and release a #clinical study database, via @TuftsCSDD  https://t.co/1C8BYbOAAB
3611	45% of #clinicaldata pros cite protocol changes as top cause of database build delays impacting trials  https://t.co/1C8BYbOAAB  @TuftsCSDD  https://t.co/xxJZxvXdDC
3612	78% data managed in EDC is eCRF data via @TuftsCSDD study; only small fraction of #clinicaldata beyond eCRF in EDC  https://t.co/1C8BYbOAAB  https://t.co/hx3vVL0cY0
3613	77% of cos have issues loading data in EDC; 65% cite system or integration issues as top challenges via @TuftsCSDD  https://t.co/1C8BYbOAAB  https://t.co/lOkGgyrUU6
3614	A glimpse into @GSK’s organizational transformation and use of technology for better customer engagement. VIDEO:  https://t.co/z96xl91z9d
3615	Get the backstory on Veeva CRM MyInsights from Veeva’s Arno Sosna, General Manager for #VeevaCRM:  https://t.co/Oj2e2flMlU #CRMInnovation
3616	83% of #lifesciences cos release study database after FPFV -&gt; associated w downstream trial delays  https://t.co/1C8BYbOAAB via @TuftsCSDD  https://t.co/6Q5LKgbntR
3617	New research from @TuftsCSDD reveals #clinicaldata management delays are slowing trial completion  https://t.co/1C8BYbOAAB
3618	Find out which 5 tracking spreadsheets most #regulatory teams want to retire:  https://t.co/CiLIja9eDq - #pharma
3619	30% #CROs have clinical data tracked outside of their systems. Learn more in the annual report:  https://t.co/bUI5E1MTJI #outsourcing #pharma  https://t.co/OTpXm4Fvip
3620	Congrats to @CRUKresearch on your 25th anniversary! Veeva is honored to work with you and support your mission. #CDD25  https://t.co/oRC0bSAFSP
3621	Read how and why Veeva’s Arno Sosna and team developed #VeevaCRM MyInsights:  https://t.co/Oj2e2flMlU #CRMInnovation
3622	The top drivers for clinical unification among #CROs include faster study execution and cost savings. Learn more:  https://t.co/bUI5E1viSa  https://t.co/HrdbgdEICw
3623	Industry leaders share advice on how to standardize data and harmonize processes.  https://t.co/oUuZJHccUn #UnifiedRIM
3624	Leading #cancer charity @CR_UK prepares for inspection &amp; archives #clinicaltrial documents faster w/ Vault #eTMF:  https://t.co/Pub8eLyIoJ
3625	Find out how many spreadsheets Halozyme consolidated with Vault RIM. #unifiedRIM  https://t.co/4FjFfnvE9Z
3626	RIM transformation at Halozyme = more information, greater visibility, less effort. #unfiedRIM  https://t.co/4FjFfnvE9Z
3627	Find out which 5 tracking spreadsheets most #regulatory teams want to retire:  https://t.co/CiLIjaqQ20 - #pharma
3628	New #clinicalresearch reveals 42% CROs now use an eTMF application, double the number reported in 2014. Learn more:  https://t.co/bUI5E1viSa  https://t.co/eddAdvspRw
3629	.@CR_UK’s vision is for 3 in 4 patients to survive #cancer by 2034. Vault #eTMF helps increase the org's efficiency:  https://t.co/Pub8eLyIoJ
3630	.@CR_UK’s #cancertreatment development has helped save millions. See how they're modernizing #clinicaloperations:  https://t.co/Pub8eLyIoJ
3631	Industry research: 72% #CROs say integrating multiple applications is the biggest challenge with clinical solutions.  https://t.co/bUI5E1viSa  https://t.co/AteWJMVUWh
3632	See how leading #cancer charity @CR_UK is increasing #clinicaltrial efficiency w/ Vault #eTMF to help more patients:  https://t.co/Pub8eLyIoJ
3633	Hear how #lifesciences is streamlining product development across the enterprise at 2017 #VeevaSummit Oct. 2-4  https://t.co/l1fnRAR66c
3634	Industry leaders share advice on how to standardize data and harmonize processes.  https://t.co/oUuZJHccUn #UnifiedRIM
3635	25+ speakers from the world’s leading pharmas &amp; biotechs presenting at the 2017 #VeevaSummit; see what’s in store  https://t.co/l1fnRAR66c
3636	Veeva R&amp;D Summit to feature 6 of top 25 largest pharmas and leading biotechs. Learn more and join us:  https://t.co/l1fnRAR66c #VeevaSummit
3637	What does the future hold for #VeevaCRM MyInsights? Hear from Arno Sosna on this game-changing tool:  https://t.co/Oj2e2flMlU #CRMInnovation
3638	Industry leaders share advice on how to standardize data and harmonize processes.  https://t.co/oUuZJHccUn #UnifiedRIM
3639	#CROs that use data to improve #clinical trial processes report greater benefits, incl. audit &amp; inspection readiness  https://t.co/KNru2KbKDh
3640	#CROs leading industry in use of data and metrics, with 35% using eTMF data to improve #clinical trial processes  https://t.co/KNru2KbKDh
3641	96% of #CROs say challenges w/ their current CTMS app limit their ability to improve #clinical ops  https://t.co/KNru2KbKDh #outsourcing
3642	72% of #CROs reveal integrating #clinical apps, including CTMS, EDC, &amp; eTMF, is a top challenge. Read full report:  https://t.co/KNru2KbKDh
3643	Manage medical #KOLs? Join #medicalscienceliaisons Sept 19 in San Francisco for #Veeva MSL Advisory Forums  https://t.co/waZZXRkIG3
3644	New survey says #CROs are leading shift to unified #clinical, adopting more purpose-built apps faster than sponsors  https://t.co/KNru2KbKDh
3645	Industry leaders share advice on how to standardize data and harmonize processes.  https://t.co/oUuZJHccUn #UnifiedRIM
3646	Faster study execution, reducing costs, &amp; improving study quality are top drivers among #CROs for unified #clinical  https://t.co/KNru2KbKDh
3647	Examine the drivers, benefits, and barriers to a unified #clinical model in this webinar:  https://t.co/gbyswhr02n  https://t.co/bQqSuXzAaJ
3648	72% of CROs report integration of multiple applications as biggest challenge with their #clinical solutions  https://t.co/KNru2KbKDh #OCTNE
3649	New survey reveals CROs driving industrywide shift to modernize #clinical systems, streamline trial processes  https://t.co/KNru2KbKDh #OCTNE
3650	Global life sciences survey reveals universal need among CROs to move toward a unified #clinical environment  https://t.co/KNru2KbKDh #OCTNE
3651	Find out which 5 tracking spreadsheets most #regulatory teams want to retire:  https://t.co/CiLIjaqQ20 - #pharma
3652	Veeva CEO discusses industry collaboration and machine learning with @PharmExecutive  https://t.co/5Nc1V76Ekf #digitalinsights
3653	Veeva CEO: Digital disruption is bringing the industry together to make it easier for customers to access info  https://t.co/5Nc1V76Ekf
3654	.@PharmExecutive interviews Veeva CEO to discuss digital transformation in #lifesciences  https://t.co/5Nc1V76Ekf #digitalinsights
3655	Industry leaders discuss using technology to help sales reps with multi-channel engagement  https://t.co/CuEjtdxBPp #digitalinsights
3656	What does the future hold for #VeevaCRM MyInsights? Hear from Arno Sosna on this game-changing tool:  https://t.co/Oj2e2flMlU #CRMInnovation
3657	Lay a strong foundation for Regulatory Standardization.  https://t.co/oUuZJHccUn #UnifiedRIM
3658	.@PharmExecutive talks with commercial leaders about the evolving role of the sales rep  https://t.co/CuEjtdxBPp #digitalinsights
3659	Learn best practices for enabling sales reps to drive smarter interactions, via leaders at @GSK and @NestleHealthUS  https://t.co/CuEjtdxBPp
3660	How a new approach to EDC can turn #bigdata into actionable insights.  https://t.co/hmcbU8Cw6i
3661	Webinar: Key industry findings revealed in annual #clinicalresearch report.  https://t.co/gbyswhr02n  https://t.co/pzMKEvKd58
3662	.@AlexAzar: “Build a suite of services and education around the sales rep,” via @PharmExecutive  https://t.co/fBy502DrQX #digitalinsights
3663	".@AlexAzar shares how companies can enable sales reps to be a ""broker of capabilities""  https://t.co/fBy502DrQX #digitalinsights"
3664	Industry leaders share advice on how to standardize data and harmonize processes.  https://t.co/oUuZJHccUn #UnifiedRIM
3665	Patients need quick decision making and real-time action. How a new approach to data management can help  https://t.co/hmcbU8Cw6i
3666	.@PharmExecutive interviews @AlexAzar to discuss the industry’s shift to key account management  https://t.co/fBy502DrQX #digitalinsights
3667	#Digital pioneers discuss using data to make smarter decisions to better engage w/ customers, via @PharmExecutive  https://t.co/9pSaO13PUx
3668	Read how and why Veeva’s Arno Sosna and team developed #VeevaCRM MyInsights:  https://t.co/Oj2e2flMlU #CRMInnovation
3669	Commercial teams can now manage territory alignment and target planning in a single, integrated system. Read how:  https://t.co/bcbpSyjl5q
3670	Leaders from @biogen, @GSK, and @NestleHealthUS reveal strategies to make engagement more tailored and seamless  https://t.co/9pSaO13PUx
3671	Veeva CEO: there is pent-up demand for great #cloud software to manage quality operations  https://t.co/QiGDJr2dTE via @MadMoneyOnCNBC
3672	Learn strategies about integrating digital into the business for more efficient customer engagement  https://t.co/4AmcVvstS5
3673	Find out which 5 tracking spreadsheets most #regulatory teams want to retire:  https://t.co/CiLIjaqQ20 - #pharma
3674	.@PharmExecutive explores the next frontier in commercial w/ industry leaders: intelligent engagement  https://t.co/9pSaO13PUx
